player,mins,goals,assists,ga,wcs,fw,squad,ga90
Dmitri Radchenko,193,1,0.0,1.0,1,True,ruRussia,0.46632124352331605
Dmitri Sychev,138,1,0.0,1.0,1,True,ruRussia,0.6521739130434783
Domingo Pérez,360,0,0.0,0.0,1,True,uyUruguay,0.0
Dominique Rocheteau,799,4,0.0,4.0,3,True,frFrance,0.45056320400500627
Dragan Džajić,443,1,0.0,1.0,1,True,yuYugoslavia,0.20316027088036115
Dries Mertens,643,2,1.0,3.0,3,True,beBelgium,0.4199066874027994
Dušan Bajević,249,3,0.0,3.0,1,True,yuYugoslavia,1.0843373493975905
Dušan Tadić,518,0,3.0,3.0,2,True,rsSerbia,0.5212355212355212
Dwight Yorke,270,0,0.0,0.0,1,True,ttTrin & Tobago,0.0
Earnie Stewart,766,1,0.0,1.0,3,True,usUnited States,0.1174934725848564
Ebbe Sand,509,1,0.0,1.0,2,True,dkDenmark,0.1768172888015717
Eberhard Vogel,187,0,0.0,0.0,1,True,Germany DR,0.0
Eden Hazard,1008,3,4.0,7.0,3,True,beBelgium,0.625
Edin Džeko,263,1,0.0,1.0,1,True,baBosnia & Herz.,0.34220532319391633
Edinson Cavani,1346,5,1.0,6.0,4,True,uyUruguay,0.40118870728083206
Eduard Malofeyev,450,3,0.0,3.0,1,True,suSoviet Union,0.6000000000000001
Eduard Markarov,90,0,0.0,0.0,1,True,suSoviet Union,0.0
Eduardo Vargas,307,1,1.0,2.0,1,True,clChile,0.5863192182410424
Edílson,170,0,0.0,0.0,1,True,brBrazil,0.0
El Hadji Diouf,510,0,0.0,0.0,1,True,snSenegal,0.0
Eljero Elia,140,0,0.0,0.0,1,True,nlNetherlands,0.0
Eloy Olaya,148,1,0.0,1.0,1,True,esSpain,0.6081081081081081
Emerich Dembrovschi,270,1,0.0,1.0,1,True,roRomania,0.33333333333333337
Emil Kostadinov,814,1,0.0,1.0,2,True,bgBulgaria,0.11056511056511056
Emile Heskey,545,1,0.0,1.0,2,True,engEngland,0.1651376146788991
Emilio Butragueño,759,5,0.0,5.0,2,True,esSpain,0.5928853754940712
Emmanuel Adebayor,254,0,0.0,0.0,1,True,tgTogo,0.0
Emmanuel Amunike,326,2,0.0,2.0,1,True,ngNigeria,0.5521472392638037
Emmanuel Emenike,360,0,2.0,2.0,1,True,ngNigeria,0.5
Emmanuel Maboang,246,0,0.0,0.0,2,True,cmCameroon,0.0
Emmanuel Olisadebe,265,1,0.0,1.0,1,True,plPoland,0.33962264150943394
Emmanuel Sanon,270,2,0.0,2.0,1,True,htHaiti,0.6666666666666667
Enner Valencia,525,6,0.0,6.0,2,True,ecEcuador,1.0285714285714285
