player,pos,squad,minutes,goals,assists,ga,goals_per90,assists_per90,ga_per90,wc_year
Aziz Bouderbala,"FW,MF",maMorocco,360,0,,,0.00,,,1986
Noureddine Bouyahyaoui,DF,maMorocco,360,0,,,0.00,,,1986
Tomás Boy,MF,mxMexico,324,0,,,0.00,,,1986
Branco,DF,brBrazil,480,0,,,0.00,,,1986
Andreas Brehme,"DF,MF",deWest Germany,435,1,,,0.21,,,1986
Ian Bridge,DF,caCanada,270,0,,,0.00,,,1986
Hans-Peter Briegel,"DF,MF",deWest Germany,542,0,,,0.00,,,1986
Hugo Broos,DF,beBelgium,219,0,,,0.00,,,1986
Aleksandr Bubnov,DF,suSoviet Union,90,0,,,0.00,,,1986
Cha Bum-kun,"FW,MF",krKorea Republic,270,0,,,0.00,,,1986
Andrzej Buncol,MF,plPoland,135,0,,,0.00,,,1986
Győző Burcsa,MF,huHungary,105,0,,,0.00,,,1986
Jorge Burruchaga,"FW,MF",arArgentina,607,2,,,0.30,,,1986
Søren Busk,DF,dkDenmark,360,0,,,0.00,,,1986
Terry Butcher,"DF,MF",engEngland,450,0,,,0.00,,,1986
Emilio Butragueño,FW,esSpain,435,5,,,1.03,,,1986
Byun Byung-joo,FW,krKorea Republic,204,0,,,0.00,,,1986
Roberto Cabañas,FW,pyParaguay,360,2,,,0.50,,,1986
Wilmar Cabrera,FW,uyUruguay,135,0,,,0.00,,,1986
Antonio Cabrini,DF,itItaly,360,0,,,0.00,,,1986
Ramón Calderé,MF,esSpain,337,2,,,0.53,,,1986
David Campbell,MF,nirNorthern Ireland,70,0,,,0.00,,,1986
Adolfino Cañete,MF,pyParaguay,360,0,,,0.00,,,1986
Careca,FW,brBrazil,480,5,,,0.94,,,1986
Walter Casagrande,FW,brBrazil,187,0,,,0.00,,,1986
Júlio César,DF,brBrazil,480,0,,,0.00,,,1986
Julio César Romero,MF,pyParaguay,360,2,,,0.50,,,1986
Jan Ceulemans,"FW,MF",beBelgium,720,3,,,0.37,,,1986
Park Chang-sun,"FW,MF",krKorea Republic,270,1,,,0.33,,,1986
Viktor Chanov,GK,suSoviet Union,90,0,,,0.00,,,1986
Chendo,DF,esSpain,120,0,,,0.00,,,1986
Nico Claesen,FW,beBelgium,661,3,,,0.41,,,1986
Colin Clarke,FW,nirNorthern Ireland,190,1,,,0.47,,,1986
Néstor Clausen,DF,arArgentina,90,0,,,0.00,,,1986
Lei Clijsters,DF,beBelgium,46,0,,,0.00,,,1986
Elzo Coelho,MF,brBrazil,480,0,,,0.00,,,1986
Fulvio Collovati,DF,itItaly,90,0,,,0.00,,,1986
Bruno Conti,MF,itItaly,308,0,,,0.00,,,1986
Davie Cooper,"FW,MF",sctScotland,38,0,,,0.00,,,1986
Félix Cruz,DF,mxMexico,480,0,,,0.00,,,1986
László Dajka,MF,huHungary,148,0,,,0.00,,,1986
Vítor Damas,GK,ptPortugal,180,0,,,0.00,,,1986
Carlos Daniel Tapia,MF,arArgentina,33,0,,,0.00,,,1986
Rinat Dasayev,GK,suSoviet Union,300,0,,,0.00,,,1986
Fernando De Napoli,MF,itItaly,356,0,,,0.00,,,1986
Michel De Wolf,DF,beBelgium,180,0,,,0.00,,,1986
Rogelio Delgado,DF,pyParaguay,360,0,,,0.00,,,1986
Stéphane Demol,DF,beBelgium,633,1,,,0.14,,,1986
Anatoliy Demyanenko,"DF,MF",suSoviet Union,300,0,,,0.00,,,1986
Philippe Desmet,"FW,MF",beBelgium,186,0,,,0.00,,,1986
Lajos Détári,MF,huHungary,270,1,,,0.33,,,1986
Antonio Di Gennaro,MF,itItaly,315,0,,,0.00,,,1986
Georgi Dimitrov,DF,bgBulgaria,360,0,,,0.00,,,1986
Víctor Diogo,DF,uyUruguay,270,0,,,0.00,,,1986
Péter Disztl,GK,huHungary,180,0,,,0.00,,,1986
Kerry Dixon,FW,engEngland,5,0,,,0.00,,,1986
Paul Dolan,GK,caCanada,90,0,,,0.00,,,1986
Abdelmajid Dolmy,MF,maMorocco,360,0,,,0.00,,,1986
Alejandro Domínguez,MF,mxMexico,29,0,,,0.00,,,1986
Mal Donaghy,DF,nirNorthern Ireland,270,0,,,0.00,,,1986
Nacerdine Drid,GK,dzAlgeria,109,0,,,0.00,,,1986
Dariusz Dziekanowski,FW,plPoland,325,0,,,0.00,,,1986
Norbert Eder,DF,deWest Germany,654,0,,,0.00,,,1986
Edinho,DF,brBrazil,480,1,,,0.19,,,1986
Preben Elkjær,FW,dkDenmark,315,4,,,1.14,,,1986
Héctor Enrique,MF,arArgentina,332,0,,,0.00,,,1986
John Eriksen,FW,dkDenmark,76,1,,,1.18,,,1986
Miguel España,MF,mxMexico,355,0,,,0.00,,,1986
Márton Esterházy,FW,huHungary,270,1,,,0.33,,,1986
Terry Fenwick,DF,engEngland,360,0,,,0.00,,,1986
Luis Fernández,"DF,MF",frFrance,552,1,,,0.16,,,1986
Roberto Fernández,GK,pyParaguay,360,0,,,0.00,,,1986
Buenaventura Ferreira,"FW,MF",pyParaguay,360,0,,,0.00,,,1986
Jean-Marc Ferreri,"FW,MF",frFrance,183,1,,,0.49,,,1986
Luis Flores,FW,mxMexico,244,1,,,0.37,,,1986
Karlheinz Förster,DF,deWest Germany,640,0,,,0.00,,,1986
Enzo Francescoli,"FW,MF",uyUruguay,353,1,,,0.25,,,1986
Francisco,MF,esSpain,269,0,,,0.00,,,1986
Jan Furtok,FW,plPoland,32,0,,,0.00,,,1986
Paulo Futre,"FW,MF",ptPortugal,153,0,,,0.00,,,1986
Giuseppe Galderisi,FW,itItaly,324,0,,,0.00,,,1986
Ricardo Gallego,MF,esSpain,390,0,,,0.00,,,1986
Giovanni Galli,GK,itItaly,360,0,,,0.00,,,1986
Imre Garaba,DF,huHungary,270,0,,,0.00,,,1986
Oscar Garré,DF,arArgentina,360,0,,,0.00,,,1986
Bernard Genghini,MF,frFrance,120,1,,,0.75,,,1986
Eric Gerets,DF,beBelgium,621,0,,,0.00,,,1986
Plamen Getov,"FW,MF",bgBulgaria,295,1,,,0.31,,,1986
Alain Giresse,MF,frFrance,506,0,,,0.00,,,1986
Ricardo Giusti,MF,arArgentina,630,0,,,0.00,,,1986
Andoni Goikoetxea,DF,esSpain,360,1,,,0.25,,,1986
Fernando Gomes,FW,ptPortugal,207,0,,,0.00,,,1986
Rafael Gordillo,"DF,MF",esSpain,53,0,,,0.00,,,1986
Basil Gorgis,MF,iqIraq,131,0,,,0.00,,,1986
Zhivko Gospodinov,"FW,MF",bgBulgaria,253,0,,,0.00,,,1986
Richard Gough,DF,sctScotland,270,0,,,0.00,,,1986
Gerry Gray,MF,caCanada,158,0,,,0.00,,,1986
Georges Grün,DF,beBelgium,538,0,,,0.00,,,1986
Jorge Guasch,MF,pyParaguay,149,0,,,0.00,,,1986
Mahmoud Guendouz,DF,dzAlgeria,270,0,,,0.00,,,1986
Nelson Gutiérrez,DF,uyUruguay,360,0,,,0.00,,,1986
Mustafa El Haddaoui,MF,maMorocco,246,0,,,0.00,,,1986
Larbi El Hadi,GK,dzAlgeria,161,0,,,0.00,,,1986
Rahim Hameed,FW,iqIraq,65,0,,,0.00,,,1986
Billy Hamilton,FW,nirNorthern Ireland,135,0,,,0.00,,,1986
Raad Hammoudi,GK,iqIraq,180,0,,,0.00,,,1986
Péter Hannich,"FW,MF",huHungary,45,0,,,0.00,,,1986
Rachid Harkouk,"FW,MF",dzAlgeria,148,0,,,0.00,,,1986
Natik Hashim,"DF,MF",iqIraq,239,0,,,0.00,,,1986
Mark Hateley,FW,engEngland,176,0,,,0.00,,,1986
Matthias Herget,DF,deWest Germany,90,0,,,0.00,,,1986
Ramón Hicks,FW,pyParaguay,34,0,,,0.00,,,1986
Glenn Hoddle,MF,engEngland,450,0,,,0.00,,,1986
Steve Hodge,MF,engEngland,331,0,,,0.00,,,1986
Dieter Hoeneß,"FW,MF",deWest Germany,92,0,,,0.00,,,1986
Ali Hussein Shihab,MF,iqIraq,270,0,,,0.00,,,1986
Lars Høgh,GK,dkDenmark,180,0,,,0.00,,,1986
Maad Ibrahim,DF,iqIraq,90,0,,,0.00,,,1986
Augusto Inácio,DF,ptPortugal,270,0,,,0.00,,,1986
Bozhidar Iskrenov,MF,bgBulgaria,130,0,,,0.00,,,1986
Ditmar Jakobs,DF,deWest Germany,508,0,,,0.00,,,1986
Paul James,MF,caCanada,195,0,,,0.00,,,1986
Francisco Javier Cruz,"FW,MF",mxMexico,89,0,,,0.00,,,1986
Pat Jennings,GK,nirNorthern Ireland,270,0,,,0.00,,,1986
Kim Jong-boo,"FW,MF",krKorea Republic,66,1,,,1.36,,,1986
Chung Jong-soo,DF,krKorea Republic,45,0,,,0.00,,,1986
Kim Joo-sung,MF,krKorea Republic,225,0,,,0.00,,,1986
Josimar,DF,brBrazil,300,2,,,0.60,,,1986
Huh Jung-moo,MF,krKorea Republic,270,1,,,0.33,,,1986
Léo Júnior,"DF,MF",brBrazil,438,0,,,0.00,,,1986
Jens Jørn Bertelsen,MF,dkDenmark,236,0,,,0.00,,,1986
Mohamed Kaci-Said,MF,dzAlgeria,270,0,,,0.00,,,1986
Jan Karaś,"FW,MF",plPoland,193,0,,,0.00,,,1986
József Kardos,"DF,MF",huHungary,270,0,,,0.00,,,1986
Abderrazak Khairi,MF,maMorocco,273,2,,,0.66,,,1986
Labid Khalifa,DF,maMorocco,360,0,,,0.00,,,1986
József Kiprich,FW,huHungary,180,0,,,0.00,,,1986
Ryszard Komornicki,MF,plPoland,167,0,,,0.00,,,1986
Kostadin Kostadinov,FW,bgBulgaria,161,0,,,0.00,,,1986
Noureddine Kourichi,DF,dzAlgeria,180,0,,,0.00,,,1986
Kálmán Kovács,FW,huHungary,64,0,,,0.00,,,1986
Dariusz Kubicki,DF,plPoland,45,0,,,0.00,,,1986
Oleh Kuznetsov,DF,suSoviet Union,390,0,,,0.00,,,1986
Cho Kwang-rae,MF,krKorea Republic,229,0,,,0.00,,,1986
Park Kyung-hoon,DF,krKorea Republic,270,0,,,0.00,,,1986
Abdelmajid Lamriss,DF,maMorocco,342,0,,,0.00,,,1986
Nikolay Larionov,"DF,MF",suSoviet Union,180,0,,,0.00,,,1986
Pablo Larios,GK,mxMexico,480,0,,,0.00,,,1986
Michael Laudrup,MF,dkDenmark,350,1,,,0.26,,,1986
Yvon Le Roux,DF,frFrance,54,0,,,0.00,,,1986
Jim Leighton,GK,sctScotland,270,0,,,0.00,,,1986
Bob Lenarduzzi,DF,caCanada,270,0,,,0.00,,,1986
Søren Lerby,MF,dkDenmark,360,1,,,0.25,,,1986
Tino Lettieri,GK,caCanada,180,0,,,0.00,,,1986
Abdellah Liegeon,DF,dzAlgeria,180,0,,,0.00,,,1986
Gary Lineker,FW,engEngland,445,6,,,1.21,,,1986
Pierre Littbarski,"FW,MF",deWest Germany,189,0,,,0.00,,,1986
Carlos de los Cobos,"DF,MF",mxMexico,179,0,,,0.00,,,1986
Jamie Lowery,MF,caCanada,37,0,,,0.00,,,1986
José Luis Brown,DF,arArgentina,630,1,,,0.14,,,1986
José Luis Cuciuffo,DF,arArgentina,540,0,,,0.00,,,1986
Hennadiy Lytovchenko,MF,suSoviet Union,90,0,,,0.00,,,1986
Antonio Maceda,DF,esSpain,90,0,,,0.00,,,1986
Rabah Madjer,FW,dzAlgeria,212,0,,,0.00,,,1986
Álvaro Magalhães,DF,ptPortugal,234,0,,,0.00,,,1986
Jaime Magalhães,MF,ptPortugal,109,0,,,0.00,,,1986
Felix Magath,MF,deWest Germany,541,0,,,0.00,,,1986
Shaker Mahmoud,"DF,MF",iqIraq,21,0,,,0.00,,,1986
Stefan Majewski,DF,plPoland,360,0,,,0.00,,,1986
Maurice Malpas,DF,sctScotland,180,0,,,0.00,,,1986
Faouzi Mansouri,DF,dzAlgeria,270,0,,,0.00,,,1986
Carlos Manuel,MF,ptPortugal,270,1,,,0.33,,,1986
Diego Maradona,"FW,MF",arArgentina,630,5,,,0.71,,,1986
Aleksandar Markov,DF,bgBulgaria,180,0,,,0.00,,,1986
Plamen Markov,MF,bgBulgaria,90,0,,,0.00,,,1986
Karim Maroc,"FW,MF",dzAlgeria,180,0,,,0.00,,,1986
Alvin Martin,DF,engEngland,90,0,,,0.00,,,1986
Lothar Matthäus,"DF,MF",deWest Germany,639,1,,,0.14,,,1986
Waldemar Matysik,MF,plPoland,225,0,,,0.00,,,1986
Frank McAvennie,FW,sctScotland,61,0,,,0.00,,,1986
David McCreery,MF,nirNorthern Ireland,270,0,,,0.00,,,1986
Alan McDonald,DF,nirNorthern Ireland,270,0,,,0.00,,,1986
Sammy McIlroy,"FW,MF",nirNorthern Ireland,270,0,,,0.00,,,1986
Alex McLeish,DF,sctScotland,90,0,,,0.00,,,1986
Paul McStay,MF,sctScotland,90,0,,,0.00,,,1986
Fodil Megharia,DF,dzAlgeria,180,0,,,0.00,,,1986
Djamel Menad,FW,dzAlgeria,123,0,,,0.00,,,1986
Alfredo Mendoza,"FW,MF",pyParaguay,305,0,,,0.00,,,1986
Abdelkrim Merry,FW,maMorocco,360,1,,,0.25,,,1986
Mustafa Merry,FW,maMorocco,176,0,,,0.00,,,1986
Míchel,MF,esSpain,444,0,,,0.00,,,1986
Borislav Mihaylov,GK,bgBulgaria,360,0,,,0.00,,,1986
Willie Miller,DF,sctScotland,270,0,,,0.00,,,1986
Cho Min-kook,DF,krKorea Republic,109,0,,,0.00,,,1986
Diamantino Miranda,MF,ptPortugal,193,1,,,0.47,,,1986
Dale Mitchell,FW,caCanada,90,0,,,0.00,,,1986
Stoycho Mladenov,FW,bgBulgaria,231,0,,,0.00,,,1986
Haris Mohammed,MF,iqIraq,156,0,,,0.00,,,1986
Raymond Mommens,"FW,MF",beBelgium,120,0,,,0.00,,,1986
Gennady Morozov,DF,suSoviet Union,90,0,,,0.00,,,1986
Müller,FW,brBrazil,225,0,,,0.00,,,1986
Carlos Muñoz,MF,mxMexico,390,0,,,0.00,,,1986
Víctor Muñoz,MF,esSpain,480,0,,,0.00,,,1986
Jan Mølby,MF,dkDenmark,155,0,,,0.00,,,1986
Józef Młynarczyk,GK,plPoland,360,0,,,0.00,,,1986
Antal Nagy,FW,huHungary,196,0,,,0.00,,,1986
David Narey,"DF,MF",sctScotland,180,0,,,0.00,,,1986
Manuel Negrete Arias,MF,mxMexico,480,1,,,0.19,,,1986
Charlie Nicholas,FW,sctScotland,111,0,,,0.00,,,1986
Jimmy Nicholl,DF,nirNorthern Ireland,270,0,,,0.00,,,1986
Steve Nicol,DF,sctScotland,218,0,,,0.00,,,1986
Ivan Nielsen,DF,dkDenmark,270,0,,,0.00,,,1986
David Norman,MF,caCanada,270,0,,,0.00,,,1986
Fatah Nsaief,GK,iqIraq,90,0,,,0.00,,,1986
John O'Neill,DF,nirNorthern Ireland,270,0,,,0.00,,,1986
Julio Olarticoechea,"DF,MF",arArgentina,369,0,,,0.00,,,1986
Eloy Olaya,FW,esSpain,148,1,,,0.61,,,1986
António Henriques Jesus Oliveira,DF,ptPortugal,270,0,,,0.00,,,1986
Jesper Olsen,"FW,MF",dkDenmark,229,3,,,1.18,,,1986
Morten Olsen,"DF,MF",dkDenmark,360,0,,,0.00,,,1986
Ghanim Oraibi,DF,iqIraq,270,0,,,0.00,,,1986
Marek Ostrowski,DF,plPoland,360,0,,,0.00,,,1986
Lahcen Ouadani,DF,maMorocco,108,0,,,0.00,,,1986
Jaime Pacheco,MF,ptPortugal,270,0,,,0.00,,,1986
George Pakos,"FW,MF",caCanada,22,0,,,0.00,,,1986
Jean-Pierre Papin,FW,frFrance,345,2,,,0.52,,,1986
Pedro Pasculli,FW,arArgentina,163,1,,,0.55,,,1986
Atanas Pashev,MF,bgBulgaria,69,0,,,0.00,,,1986
Krzysztof Pawlak,DF,plPoland,180,0,,,0.00,,,1986
Rubén Paz,MF,uyUruguay,30,0,,,0.00,,,1986
Steve Penney,"FW,MF",nirNorthern Ireland,119,0,,,0.00,,,1986
Silas Pereira,MF,brBrazil,48,0,,,0.00,,,1986
Darío Pereyra,DF,uyUruguay,180,0,,,0.00,,,1986
Zoltán Péter,DF,huHungary,61,0,,,0.00,,,1986
Petar Petrov,DF,bgBulgaria,270,0,,,0.00,,,1986
Jean-Marie Pfaff,GK,beBelgium,720,0,,,0.00,,,1986
Michel Platini,MF,frFrance,564,2,,,0.32,,,1986
Oleh Protasov,"FW,MF",suSoviet Union,56,0,,,0.00,,,1986
Kazimierz Przybyś,DF,plPoland,103,0,,,0.00,,,1986
Nery Pumpido,GK,arArgentina,630,0,,,0.00,,,1986
Kim Pyung-seok,DF,krKorea Republic,22,0,,,0.00,,,1986
Basim Qasim,MF,iqIraq,100,0,,,0.00,,,1986
Fernando Quirarte,DF,mxMexico,480,2,,,0.37,,,1986
Ahmed Radhi,FW,iqIraq,270,1,,,0.33,,,1986
Randy Ragan,"DF,MF",caCanada,270,0,,,0.00,,,1986
Venancio Ramos,FW,uyUruguay,204,0,,,0.00,,,1986
Troels Rasmussen,GK,dkDenmark,180,0,,,0.00,,,1986
Vasyl Rats,"DF,MF",suSoviet Union,300,1,,,0.30,,,1986
Peter Reid,MF,engEngland,215,0,,,0.00,,,1986
Tomás Reñones,DF,esSpain,405,0,,,0.00,,,1986
Michel Renquin,DF,beBelgium,428,0,,,0.00,,,1986
Eliseo Rivero,DF,uyUruguay,90,0,,,0.00,,,1986
Paulo Roberto Falcão,MF,brBrazil,93,0,,,0.00,,,1986
Carlos Roberto Gallo,GK,brBrazil,480,0,,,0.00,,,1986
Bryan Robson,MF,engEngland,119,0,,,0.00,,,1986
Dominique Rocheteau,"FW,MF",frFrance,287,1,,,0.31,,,1986
Sergey Rodionov,FW,suSoviet Union,184,1,,,0.49,,,1986
Wolfgang Rolff,MF,deWest Germany,135,0,,,0.00,,,1986
Frederico Rosa,DF,ptPortugal,270,0,,,0.00,,,1986
Antal Róth,DF,huHungary,165,0,,,0.00,,,1986
Oscar Ruggeri,DF,arArgentina,630,1,,,0.14,,,1986
Karl-Heinz Rummenigge,FW,deWest Germany,349,1,,,0.26,,,1986
Albert Rust,GK,frFrance,120,0,,,0.00,,,1986
Ayan Sadakov,MF,bgBulgaria,360,0,,,0.00,,,1986
Karim Saddam,"DF,FW",iqIraq,170,0,,,0.00,,,1986
Hussein Saeed,FW,iqIraq,90,0,,,0.00,,,1986
Julio Salinas,FW,esSpain,364,1,,,0.25,,,1986
Sándor Sallai,DF,huHungary,270,0,,,0.00,,,1986
Randy Samuel,DF,caCanada,270,0,,,0.00,,,1986
Hugo Sánchez,FW,mxMexico,390,1,,,0.23,,,1986
Kenny Sansom,DF,engEngland,450,0,,,0.00,,,1986
Sergio Santín,MF,uyUruguay,326,0,,,0.00,,,1986
Mario Saralegui,MF,uyUruguay,146,0,,,0.00,,,1986
Vladimiro Schettina,DF,pyParaguay,270,0,,,0.00,,,1986
Harald Schumacher,GK,deWest Germany,660,0,,,0.00,,,1986
Enzo Scifo,MF,beBelgium,639,2,,,0.28,,,1986
Gaetano Scirea,DF,itItaly,360,0,,,0.00,,,1986
Branko Šegota,FW,caCanada,75,0,,,0.00,,,1986
Raúl Servín,DF,mxMexico,480,1,,,0.19,,,1986
Nadhum Shaker,DF,iqIraq,270,0,,,0.00,,,1986
Samir Shaker,"DF,MF",iqIraq,180,0,,,0.00,,,1986
Graeme Sharp,FW,sctScotland,90,0,,,0.00,,,1986
Peter Shilton,GK,engEngland,450,0,,,0.00,,,1986
Jorge Orosmán da Silva,FW,uyUruguay,225,0,,,0.00,,,1986
Allan Simonsen,FW,dkDenmark,20,0,,,0.00,,,1986
Nasko Sirakov,"FW,MF",bgBulgaria,282,1,,,0.32,,,1986
John Sivebæk,DF,dkDenmark,107,0,,,0.00,,,1986
Włodzimierz Smolarek,"FW,MF",plPoland,343,1,,,0.26,,,1986
Sócrates,"FW,MF",brBrazil,435,2,,,0.41,,,1986
Noh Soo-jin,"FW,MF",krKorea Republic,45,0,,,0.00,,,1986
Choi Soon-ho,FW,krKorea Republic,180,1,,,0.50,,,1986
Abdelaziz Souleimani,"FW,MF",maMorocco,28,0,,,0.00,,,1986
Graeme Souness,MF,sctScotland,180,0,,,0.00,,,1986
António Sousa,MF,ptPortugal,248,0,,,0.00,,,1986
Trevor Steven,"FW,MF",engEngland,253,0,,,0.00,,,1986
Gary Stevens,DF,engEngland,450,0,,,0.00,,,1986
Gary Stevens,"DF,MF",engEngland,48,0,,,0.00,,,1986
Ian Stewart,FW,nirNorthern Ireland,151,0,,,0.00,,,1986
Yannick Stopyra,FW,frFrance,481,2,,,0.37,,,1986
Gordon Strachan,MF,sctScotland,253,1,,,0.36,,,1986
Paul Sturrock,FW,sctScotland,129,0,,,0.00,,,1986
Mike Sweeney,"DF,MF",caCanada,97,0,,,0.00,,,1986
József Szendrei,GK,huHungary,90,0,,,0.00,,,1986
Ryszard Tarasiewicz,MF,plPoland,90,0,,,0.00,,,1986
Jean Tigana,MF,frFrance,652,1,,,0.14,,,1986
Mohamed Timoumi,"FW,MF",maMorocco,357,0,,,0.00,,,1986
Juan Torales,DF,pyParaguay,322,0,,,0.00,,,1986
Mario Trejo,DF,mxMexico,180,0,,,0.00,,,1986
Marcelo Trobbiani,MF,arArgentina,1,0,,,0.00,,,1986
Thierry Tusseau,"DF,MF",frFrance,266,0,,,0.00,,,1986
Jan Urban,FW,plPoland,297,0,,,0.00,,,1986
Jorge Valdano,FW,arArgentina,630,4,,,0.57,,,1986
Carl Valentine,FW,caCanada,270,0,,,0.00,,,1986
Franky Van der Elst,MF,beBelgium,257,0,,,0.00,,,1986
Leo Van der Elst,MF,beBelgium,82,0,,,0.00,,,1986
Erwin Vandenbergh,FW,beBelgium,65,1,,,1.38,,,1986
René Vandereycken,MF,beBelgium,180,0,,,0.00,,,1986
József Varga,DF,huHungary,180,0,,,0.00,,,1986
Boycho Velichkov,FW,bgBulgaria,39,0,,,0.00,,,1986
Franky Vercauteren,"DF,MF",beBelgium,584,1,,,0.15,,,1986
Philippe Vercruysse,MF,frFrance,147,0,,,0.00,,,1986
Patrick Vervoort,"DF,MF",beBelgium,540,0,,,0.00,,,1986
Daniel Veyt,FW,beBelgium,501,1,,,0.18,,,1986
Gianluca Vialli,FW,itItaly,88,0,,,0.00,,,1986
Pietro Vierchowod,DF,itItaly,360,0,,,0.00,,,1986
Rudi Völler,FW,deWest Germany,421,3,,,0.64,,,1986
Igor Vrablic,FW,caCanada,180,0,,,0.00,,,1986
Chris Waddle,"FW,MF",engEngland,207,0,,,0.00,,,1986
Norman Whiteside,"FW,MF",nirNorthern Ireland,236,1,,,0.38,,,1986
Ray Wilkins,MF,engEngland,131,0,,,0.00,,,1986
Bruce Wilson,DF,caCanada,220,0,,,0.00,,,1986
Roman Wójcicki,DF,plPoland,360,0,,,0.00,,,1986
Nigel Worthington,"DF,MF",nirNorthern Ireland,159,0,,,0.00,,,1986
Daniel Xuereb,FW,frFrance,25,0,,,0.00,,,1986
Pavlo Yakovenko,MF,suSoviet Union,216,1,,,0.42,,,1986
Ivan Yaremchuk,MF,suSoviet Union,300,1,,,0.30,,,1986
Vadym Yevtushenko,"FW,MF",suSoviet Union,151,0,,,0.00,,,1986
Chung Yong-hwan,DF,krKorea Republic,270,0,,,0.00,,,1986
Kim Yong-se,FW,krKorea Republic,45,0,,,0.00,,,1986
Georgi Yordanov,MF,bgBulgaria,180,0,,,0.00,,,1986
Cho Young-jeung,DF,krKorea Republic,180,0,,,0.00,,,1986
Oh Yun-kyo,GK,krKorea Republic,270,0,,,0.00,,,1986
César Zabala,DF,pyParaguay,360,0,,,0.00,,,1986
José Zalazar,"FW,MF",uyUruguay,34,0,,,0.00,,,1986
Oleksandr Zavarov,MF,suSoviet Union,247,1,,,0.36,,,1986
Radoslav Zdravkov,MF,bgBulgaria,290,0,,,0.00,,,1986
Andrzej Zgutczyński,FW,plPoland,17,0,,,0.00,,,1986
Andrey Zhelyazkov,MF,bgBulgaria,140,0,,,0.00,,,1986
Zico,MF,brBrazil,95,0,,,0.00,,,1986
Djamel Zidane,FW,dzAlgeria,138,1,,,0.65,,,1986
Władysław Żmuda,DF,plPoland,8,0,,,0.00,,,1986
Andoni Zubizarreta,GK,esSpain,480,0,,,0.00,,,1986
John van 't Schip,"FW,MF",nlNetherlands,163,0,,,0.00,,,1990
Gamal Abdel-Hameed,"FW,MF",egEgypt,160,0,,,0.00,,,1990
Magdi Abdelghani,MF,egEgypt,270,1,,,0.33,,,1990
Adel Abdelrahman,FW,egEgypt,35,0,,,0.00,,,1990
Taher Abouzeid,"FW,MF",egEgypt,31,0,,,0.00,,,1990
Berry van Aerle,"DF,MF",nlNetherlands,335,0,,,0.00,,,1990
Carlos Aguilera,FW,uyUruguay,170,0,,,0.00,,,1990
Ernst Aigner,DF,atAustria,270,0,,,0.00,,,1990
Roy Aitken,"DF,MF",sctScotland,270,0,,,0.00,,,1990
Philippe Albert,DF,beBelgium,90,0,,,0.00,,,1990
John Aldridge,FW,ieRep. of Ireland,285,0,,,0.00,,,1990
Sergei Aleinikov,MF,suSoviet Union,270,0,,,0.00,,,1990
Alemão,MF,brBrazil,352,0,,,0.00,,,1990
Abdullah Ali Sultan,"DF,MF",aeUAE,73,0,,,0.00,,,1990
Rafael Alkorta,DF,esSpain,9,0,,,0.00,,,1990
Leonel Álvarez,MF,coColombia,390,0,,,0.00,,,1990
Fernando Álvez,GK,uyUruguay,360,0,,,0.00,,,1990
Antonio Alzamendi,FW,uyUruguay,121,0,,,0.00,,,1990
Carlo Ancelotti,MF,itItaly,164,0,,,0.00,,,1990
Ioan Andone,DF,roRomania,390,0,,,0.00,,,1990
Genar Andrinúa,DF,esSpain,318,0,,,0.00,,,1990
Desmond Armstrong,DF,usUnited States,270,0,,,0.00,,,1990
Peter Artner,"DF,MF",atAustria,92,0,,,0.00,,,1990
Klaus Augenthaler,DF,deWest Germany,660,0,,,0.00,,,1990
Roberto Baggio,"FW,MF",itItaly,375,2,,,0.48,,,1990
Zuhair Bakheet,FW,aeUAE,34,0,,,0.00,,,1990
Abel Balbo,FW,arArgentina,90,0,,,0.00,,,1990
Marcelo Balboa,DF,usUnited States,207,0,,,0.00,,,1990
Gabi Balint,FW,roRomania,230,2,,,0.78,,,1990
Mirsad Baljić,DF,yuYugoslavia,90,0,,,0.00,,,1990
Jimmy Banks,DF,usUnited States,133,0,,,0.00,,,1990
Franco Baresi,DF,itItaly,660,0,,,0.00,,,1990
John Barnes,"DF,FW",engEngland,388,0,,,0.00,,,1990
Hermidio Barrantes,GK,crCosta Rica,90,0,,,0.00,,,1990
Marco van Basten,FW,nlNetherlands,360,0,,,0.00,,,1990
José Basualdo,MF,arArgentina,668,0,,,0.00,,,1990
Sergio Batista,MF,arArgentina,292,0,,,0.00,,,1990
Peter Beardsley,"FW,MF",engEngland,360,0,,,0.00,,,1990
Bebeto,FW,brBrazil,8,0,,,0.00,,,1990
Uwe Bein,MF,deWest Germany,290,1,,,0.31,,,1990
Pablo Bengoechea,MF,uyUruguay,35,1,,,2.57,,,1990
Giuseppe Bergomi,DF,itItaly,660,0,,,0.00,,,1990
Thomas Berthold,DF,deWest Germany,597,0,,,0.00,,,1990
Nicola Berti,MF,itItaly,255,0,,,0.00,,,1990
Jim Bett,MF,sctScotland,72,0,,,0.00,,,1990
Volodymyr Bezsonov,"DF,MF",suSoviet Union,137,0,,,0.00,,,1990
Július Bielik,DF,csCzechoslovakia,105,0,,,0.00,,,1990
Michal Bílek,MF,csCzechoslovakia,426,2,,,0.42,,,1990
Brian Bliss,DF,usUnited States,21,0,,,0.00,,,1990
Packie Bonner,GK,ieRep. of Ireland,480,0,,,0.00,,,1990
Aleksandr Borodyuk,"FW,MF",suSoviet Union,20,0,,,0.00,,,1990
