player,pos,squad,minutes,goals,assists,ga,goals_per90,assists_per90,ga_per90,wc_year
James Rodríguez,MF,coColombia,152,0,2,2,0.00,1.18,1.18,2018
Ricardo Rodríguez,DF,chSwitzerland,360,0,0,0,0.00,0.00,0.00,2018
Tom Rogić,MF,auAustralia,223,0,0,0,0.00,0.00,0.00,2018
Marcos Rojo,DF,arArgentina,225,1,1,2,0.40,0.40,0.80,2018
Cristiano Ronaldo,FW,ptPortugal,360,4,0,4,1.00,0.00,1.00,2018
Danny Rose,MF,engEngland,205,0,0,0,0.00,0.00,0.00,2018
Antonio Rüdiger,DF,deGermany,90,0,0,0,0.00,0.00,0.00,2018
Sebastian Rudy,MF,deGermany,30,0,0,0,0.00,0.00,0.00,2018
Raúl Ruidíaz,FW,pePeru,15,0,0,0,0.00,0.00,0.00,2018
Bryan Ruiz,FW,crCosta Rica,270,0,0,0,0.00,0.00,0.00,2018
Antonio Rukavina,DF,rsSerbia,99,0,0,0,0.00,0.00,0.00,2018
Mathew Ryan,GK,auAustralia,270,0,0,0,0.00,0.00,0.00,2018
Maciej Rybus,"MF,DF",plPoland,180,0,0,0,0.00,0.00,0.00,2018
Youssouf Sabaly,DF,snSenegal,253,0,0,0,0.00,0.00,0.00,2018
Mohammed Al Sahlawi,FW,saSaudi Arabia,96,0,0,0,0.00,0.00,0.00,2018
Abdallah Said,MF,egEgypt,224,0,1,1,0.00,0.40,0.40,2018
Trent Sainsbury,DF,auAustralia,270,0,0,0,0.00,0.00,0.00,2018
Romain Saïss,DF,maMorocco,180,0,0,0,0.00,0.00,0.00,2018
Gōtoku Sakai,MF,jpJapan,90,0,0,0,0.00,0.00,0.00,2018
Hiroki Sakai,DF,jpJapan,360,0,0,0,0.00,0.00,0.00,2018
Diafra Sakho,FW,snSenegal,5,0,0,0,0.00,0.00,0.00,2018
Mohamed Salah,"MF,FW",egEgypt,180,2,0,2,1.00,0.00,1.00,2018
Carlos Salcedo,DF,mxMexico,360,0,0,0,0.00,0.00,0.00,2018
Eduardo Salvio,"MF,DF",arArgentina,145,0,0,0,0.00,0.00,0.00,2018
Aleksandr Samedov,MF,ruRussia,356,0,0,0,0.00,0.00,0.00,2018
Carlos Sánchez,MF,uyUruguay,124,0,2,2,0.00,1.45,1.45,2018
Carlos Sánchez,MF,coColombia,170,0,0,0,0.00,0.00,0.00,2018
Davinson Sánchez,DF,coColombia,390,0,0,0,0.00,0.00,0.00,2018
Salif Sané,DF,snSenegal,270,0,0,0,0.00,0.00,0.00,2018
Anderson Santamaría,DF,pePeru,135,0,0,0,0.00,0.00,0.00,2018
Ismaila Sarr,"MF,FW",snSenegal,270,0,0,0,0.00,0.00,0.00,2018
Ferjani Sassi,MF,tnTunisia,193,1,0,1,0.47,0.00,0.47,2018
Fabian Schär,DF,chSwitzerland,270,0,0,0,0.00,0.00,0.00,2018
Kasper Schmeichel,GK,dkDenmark,390,0,0,0,0.00,0.00,0.00,2018
Lasse Schöne,MF,dkDenmark,221,0,0,0,0.00,0.00,0.00,2018
Ju Se-jong,MF,krKorea Republic,85,0,1,1,0.00,1.06,1.06,2018
Haris Seferović,FW,chSwitzerland,142,0,0,0,0.00,0.00,0.00,2018
Moon Seon-min,MF,krKorea Republic,144,0,0,0,0.00,0.00,0.00,2018
Lee Seung-woo,"FW,MF",krKorea Republic,46,0,0,0,0.00,0.00,0.00,2018
Yasser Al-Shahrani,DF,saSaudi Arabia,270,0,0,0,0.00,0.00,0.00,2018
Xherdan Shaqiri,MF,chSwitzerland,350,1,1,2,0.26,0.26,0.51,2018
Yahya Al-Shehri,FW,saSaudi Arabia,85,0,0,0,0.00,0.00,0.00,2018
Mohamed El-Shenawy,GK,egEgypt,180,0,0,0,0.00,0.00,0.00,2018
Gaku Shibasaki,MF,jpJapan,339,0,1,1,0.00,0.27,0.27,2018
Kim Shin-wook,FW,krKorea Republic,66,0,0,0,0.00,0.00,0.00,2018
Masoud Shojaei,MF,irIR Iran,67,0,0,0,0.00,0.00,0.00,2018
Gen Shoji,DF,jpJapan,270,0,0,0,0.00,0.00,0.00,2018
Djibril Sidibé,DF,frFrance,90,0,0,0,0.00,0.00,0.00,2018
Björn Sigurðarson,FW,isIceland,43,0,0,0,0.00,0.00,0.00,2018
Gylfi Sigurðsson,"MF,FW",isIceland,270,1,0,1,0.33,0.00,0.33,2018
Ragnar Sigurðsson,DF,isIceland,223,0,0,0,0.00,0.00,0.00,2018
Adrien Silva,MF,ptPortugal,156,0,1,1,0.00,0.58,0.58,2018
André Silva,FW,ptPortugal,117,0,0,0,0.00,0.00,0.00,2018
Bernardo Silva,MF,ptPortugal,238,0,0,0,0.00,0.00,0.00,2018
David Silva,MF,esSpain,324,0,0,0,0.00,0.00,0.00,2018
Thiago Silva,DF,brBrazil,450,1,0,1,0.20,0.00,0.20,2018
Pione Sisto,"MF,FW",dkDenmark,230,0,0,0,0.00,0.00,0.00,2018
Ellyes Skhiri,MF,tnTunisia,270,0,0,0,0.00,0.00,0.00,2018
Naïm Sliti,FW,tnTunisia,180,0,0,0,0.00,0.00,0.00,2018
Ian Smith,MF,crCosta Rica,1,0,0,0,0.00,0.00,0.00,2018
Igor Smolnikov,DF,ruRussia,35,0,0,0,0.00,0.00,0.00,2018
Fyodor Smolov,FW,ruRussia,222,0,0,0,0.00,0.00,0.00,2018
Cédric Soares,DF,ptPortugal,270,0,0,0,0.00,0.00,0.00,2018
Ramadan Sobhi,MF,egEgypt,59,0,0,0,0.00,0.00,0.00,2018
Yann Sommer,GK,chSwitzerland,360,0,0,0,0.00,0.00,0.00,2018
Bassem Srarfi,"FW,MF",tnTunisia,2,0,0,0,0.00,0.00,0.00,2018
Raheem Sterling,FW,engEngland,451,0,1,1,0.00,0.20,0.20,2018
Vladimir Stojković,GK,rsSerbia,270,0,0,0,0.00,0.00,0.00,2018
John Stones,DF,engEngland,645,2,0,2,0.28,0.00,0.28,2018
Ivan Strinić,DF,hrCroatia,508,0,0,0,0.00,0.00,0.00,2018
Jens Stryger Larsen,DF,dkDenmark,270,0,0,0,0.00,0.00,0.00,2018
Cristhian Stuani,FW,uyUruguay,75,0,0,0,0.00,0.00,0.00,2018
Luis Suárez,FW,uyUruguay,450,2,1,3,0.40,0.20,0.60,2018
Danijel Subašić,GK,hrCroatia,630,0,0,0,0.00,0.00,0.00,2018
Niklas Süle,DF,deGermany,90,0,0,0,0.00,0.00,0.00,2018
Ki Sung-yueng,MF,krKorea Republic,180,0,0,0,0.00,0.00,0.00,2018
Gustav Svensson,MF,seSweden,134,0,0,0,0.00,0.00,0.00,2018
Wojciech Szczęsny,GK,plPoland,180,0,0,0,0.00,0.00,0.00,2018
Dušan Tadić,MF,rsSerbia,261,0,1,1,0.00,0.34,0.34,2018
Nicolás Tagliafico,DF,arArgentina,349,0,0,0,0.00,0.00,0.00,2018
Renato Tapia,MF,pePeru,148,0,0,0,0.00,0.00,0.00,2018
Mehdi Taremi,"MF,FW",irIR Iran,203,0,0,0,0.00,0.00,0.00,2018
Luis Tejada,FW,paPanama,53,0,0,0,0.00,0.00,0.00,2018
Yeltsin Tejeda,MF,crCosta Rica,8,0,0,0,0.00,0.00,0.00,2018
Łukasz Teodorczyk,FW,plPoland,31,0,0,0,0.00,0.00,0.00,2018
Florian Thauvin,"FW,MF",frFrance,2,0,0,0,0.00,0.00,0.00,2018
Youri Tielemans,"MF,FW",beBelgium,176,0,2,2,0.00,1.02,1.02,2018
Ola Toivonen,FW,seSweden,397,1,1,2,0.23,0.23,0.45,2018
Corentin Tolisso,MF,frFrance,195,0,1,1,0.00,0.46,0.46,2018
Lucas Torreira,MF,uyUruguay,306,0,0,0,0.00,0.00,0.00,2018
Gabriel Torres,FW,paPanama,73,0,0,0,0.00,0.00,0.00,2018
Román Torres,DF,paPanama,235,0,0,0,0.00,0.00,0.00,2018
Duško Tošić,DF,rsSerbia,180,0,0,0,0.00,0.00,0.00,2018
Miguel Trauco,DF,pePeru,261,0,0,0,0.00,0.00,0.00,2018
Trézéguet,"MF,FW",egEgypt,237,0,0,0,0.00,0.00,0.00,2018
Kieran Trippier,MF,engEngland,579,1,1,2,0.16,0.16,0.31,2018
William Troost-Ekong,DF,ngNigeria,270,0,0,0,0.00,0.00,0.00,2018
Samuel Umtiti,DF,frFrance,540,1,0,1,0.17,0.00,0.17,2018
Marco Ureña,FW,crCosta Rica,118,0,0,0,0.00,0.00,0.00,2018
Mateus Uribe,MF,coColombia,183,0,0,0,0.00,0.00,0.00,2018
Jonathan Urretaviscaya,"FW,MF",uyUruguay,18,0,0,0,0.00,0.00,0.00,2018
Takashi Usami,MF,jpJapan,68,0,0,0,0.00,0.00,0.00,2018
Francis Uzoho,GK,ngNigeria,270,0,0,0,0.00,0.00,0.00,2018
Raphaël Varane,DF,frFrance,630,1,0,1,0.14,0.00,0.14,2018
Jamie Vardy,FW,engEngland,160,0,0,0,0.00,0.00,0.00,2018
Guillermo Varela,DF,uyUruguay,180,0,0,0,0.00,0.00,0.00,2018
Lucas Vázquez,MF,esSpain,83,0,0,0,0.00,0.00,0.00,2018
Matías Vecino,MF,uyUruguay,414,0,0,0,0.00,0.00,0.00,2018
Carlos Vela,"MF,FW",mxMexico,313,1,0,1,0.29,0.00,0.29,2018
Miloš Veljković,DF,rsSerbia,90,0,0,0,0.00,0.00,0.00,2018
Johan Venegas,FW,crCosta Rica,149,0,0,0,0.00,0.00,0.00,2018
Thomas Vermaelen,DF,beBelgium,133,0,0,0,0.00,0.00,0.00,2018
Jan Vertonghen,DF,beBelgium,540,1,0,1,0.17,0.00,0.17,2018
Domagoj Vida,DF,hrCroatia,630,1,1,2,0.14,0.14,0.29,2018
Šime Vrsaljko,DF,hrCroatia,606,0,1,1,0.00,0.15,0.15,2018
Moussa Wagué,DF,snSenegal,197,1,0,1,0.46,0.00,0.46,2018
Kyle Walker,DF,engEngland,493,0,0,0,0.00,0.00,0.00,2018
Rodney Wallace,"DF,MF",crCosta Rica,10,0,0,0,0.00,0.00,0.00,2018
Amr Warda,MF,egEgypt,154,0,0,0,0.00,0.00,0.00,2018
Kendall Waston,DF,crCosta Rica,90,1,0,1,1.00,0.00,1.00,2018
Danny Welbeck,"FW,MF",engEngland,12,0,0,0,0.00,0.00,0.00,2018
Timo Werner,FW,deGermany,265,0,0,0,0.00,0.00,0.00,2018
Willian,MF,brBrazil,359,0,1,1,0.00,0.25,0.25,2018
Axel Witsel,MF,beBelgium,539,0,0,0,0.00,0.00,0.00,2018
Jung Woo-young,MF,krKorea Republic,128,0,0,0,0.00,0.00,0.00,2018
